days,pop_chronic,pop_chronic_flow,pop_2nd,pop_2nd_flow,pop_3rd,pop_3rd_flow,pop,pop_flow,pop9_flow,pop9,pop8_flow,pop8,pop7_flow,pop7,pop6_flow,pop6,pop5_flow,pop5,pop4_flow,pop4,pop3_flow,pop3,pop2_flow,pop2,pop1_flow,pop1
108.5065065,0.2,1.006806756,0.005415904,0.051286664,0.001,0.005034034,6.44E-07,-5.33E-06,5.03E-03,0.001,0.005034034,0.001,0.005034034,0.001,88.66679915,4.81E+01,1.76E+01,1.7E+00,4.89E-01,0.04952257,0.017763604,0.001909183,0.00089638,0.000098,2.53E-05,0.0000067
108.6726727,0.2,1.008554274,0.005245052,0.049731165,0.001,0.005042771,6.29E-07,-5.55E-06,5.04E-03,0.001,0.005042771,0.001,0.005042771,0.001,100.666228,4.76E+01,1.7E+01,1.64E+00,4.73E-01,0.047868243,0.017242697,0.001850706,0.000871149,0.0000953,2.48E-05,0.00000653
108.8388388,0.2,1.010299715,0.005079733,0.048224347,0.001,0.005051499,6.15E-07,-5.76E-06,5.05E-03,0.001,0.005051499,0.001,0.005051499,0.001,112.9130412,4.7E+01,1.64E+01,1.58E+00,4.58E-01,0.046270497,0.016736868,0.001794072,0.0008462,0.0000926,2.45E-05,0.00000637
109.005005,0.2,1.012043064,0.004919762,0.046764682,0.001,0.005060215,6.02E-07,-5.96E-06,5.06E-03,0.001,0.005060215,0.001,0.005060215,0.001,125.2001869,4.63E+01,1.59E+01,1.52E+00,4.43E-01,0.044727356,0.016245695,0.00173922,0.000821534,0.0000901,2.42E-05,0.00000621
109.1711712,0.2,1.013784305,0.004764962,0.045350729,0.001,0.005068922,5.88E-07,-6.16E-06,5.07E-03,0.001,0.005068922,0.001,0.005068922,0.001,137.3245128,4.56E+01,1.53E+01,1.47E+00,4.29E-01,0.043236912,0.015768792,0.001686094,0.000797156,0.0000876,2.4E-05,0.00000605
109.3373373,0.2,1.015523424,0.004615168,0.043981132,0.001,0.005077617,5.75E-07,-6.35E-06,5.08E-03,0.001,0.005077617,0.001,0.005077617,0.001,149.1057246,4.47E+01,1.48E+01,1.41E+00,4.15E-01,0.041797328,0.01530581,0.001634639,0.000773073,0.0000851,2.38E-05,0.0000059
109.5035035,0.2,1.017260406,0.004470217,0.042654612,0.001,0.005086302,5.62E-07,-6.53E-06,5.09E-03,0.001,0.005086302,0.001,0.005086302,0.001,160.3683493,4.38E+01,1.43E+01,1.36E+00,4.02E-01,0.040406827,0.014856435,0.0015848,0.000749296,0.0000828,2.37E-05,0.00000575
109.6696697,0.2,1.018995236,0.004329942,0.041369979,0.001,0.005094976,5.49E-07,-6.71E-06,5.09E-03,0.001,0.005094976,0.001,0.005094976,0.001,170.9761926,4.29E+01,1.38E+01,1.32E+00,3.89E-01,0.039063701,0.014420391,0.001536525,0.000726078,0.0000805,2.37E-05,0.00000561
109.8358358,0.2,1.020727898,0.004194189,0.040126131,0.001,0.005103668,5.37E-07,-6.88E-06,5.1E-03,0.001,0.00510364,0.001,0.00510364,0.001,180.8178587,4.19E+01,1.33E+01,1.27E+00,3.76E-01,0.037766299,0.01399744,0.001489764,0.000703255,0.0000783,2.38E-05,0.00000547
110.002002,0.2,1.02245838,0.004062811,0.038917062,0.001,0.005112723,5.25E-07,-7.04E-06,5.11E-03,0.001,0.005112292,0.001,0.005112292,0.001,189.8009957,4.09E+01,1.29E+01,1.22E+00,3.64E-01,0.03651303,0.013584036,0.001444467,0.000680834,0.0000761,2.39E-05,0.00000533
110.1681682,0.2,1.024186666,0.00393566,0.037744023,0.001022423,0.005121768,5.14E-07,-7.2E-06,5.12E-03,0.001,0.005120933,0.001,0.005120933,0.001,197.8641559,3.99E+01,1.24E+01,1.18E+00,3.52E-01,0.03530236,0.013181838,0.001400589,0.000658844,0.000074,2.4E-05,0.0000052
110.3343343,0.2,1.02591274,0.003812598,0.036606592,0.001180331,0.005131176,5.02E-07,-7.35E-06,5.13E-03,0.001,0.005129564,0.001,0.005129564,0.001,204.976974,3.89E+01,1.2E+01,1.14E+00,3.41E-01,0.034132807,0.012790988,0.001358082,0.000637312,0.0000719,2.42E-05,0.00000507
110.5005005,0.2,1.02763659,0.003693491,0.035503673,0.001462793,0.005141101,4.91E-07,-7.49E-06,5.14E-03,0.001,0.005138183,0.001,0.005138183,0.001,211.1250786,3.79E+01,1.16E+01,1.1E+00,3.3E-01,0.033002945,0.012411248,0.001316903,0.000616271,0.00007,2.44E-05,0.00000495
110.6666667,0.2,1.029358201,0.003578207,0.034434242,0.001878656,0.005152864,4.8E-07,-7.63E-06,5.15E-03,0.001,0.005146791,0.001,0.005146791,0.001,216.3131904,3.69E+01,1.12E+01,1.06E+00,3.2E-01,0.031911396,0.012042412,0.001277009,0.000595757,0.000068,2.47E-05,0.00000482
110.8328328,0.2,1.031077557,0.003466619,0.033397347,0.002453023,0.005167115,4.69E-07,-7.76E-06,5.16E-03,0.001,0.005155388,0.001,0.005155388,0.001,220.5563875,3.59E+01,1.08E+01,1.02E+00,3.09E-01,0.030856832,0.011684304,0.001238359,0.000575808,0.0000662,2.5E-05,0.00000471
110.998999,0.2,1.032794647,0.003358606,0.032392101,0.00322677,0.005186668,4.59E-07,-7.89E-06,5.16E-03,0.001,0.005163973,0.001,0.005163973,0.001,223.8855565,3.49E+01,1.04E+01,9.84E-01,2.99E-01,0.029837972,0.011336782,0.001200913,0.000556465,0.0000644,2.54E-05,0.00000459
111.1651652,0.2,1.034509455,0.003254052,0.031417693,0.00425838,0.005213784,4.49E-07,-8E-06,5.17E-03,0.001,0.005172547,0.001,0.005172547,0.001,226.3434385,3.39E+01,1.01E+01,9.49E-01,2.9E-01,0.028853578,0.010999733,0.00116463,0.000537775,0.0000626,2.58E-05,0.00000448
111.3313313,0.2,1.036221966,0.003152843,0.030473382,0.005627729,0.005255553,4.39E-07,-8.11E-06,5.18E-03,0.001,0.00518111,0.001,0.00518111,0.001,227.9806879,3.29E+01,9.72E+00,9.15E-01,2.81E-01,0.027902461,0.010673079,0.001129473,0.000519785,0.0000609,2.62E-05,0.00000437
111.4974975,0.2,1.037932169,0.00305487,0.0295585,0.007441932,0.005317482,4.29E-07,-8.22E-06,5.19E-03,0.001,0.005189661,0.001,0.005189661,0.001,228.8510835,3.19E+01,9.38E+00,8.82E-01,2.72E-01,0.026983468,0.010356772,0.001095409,0.000502548,0.0000592,2.66E-05,0.00000426
111.6636637,0.2,1.039640048,0.002960029,0.028670184,0.009843523,0.005414525,4.2E-07,-8.31E-06,5.2E-03,0.001,0.0051982,0.001,0.0051982,0.001,229.0128776,3.09E+01,9.06E+00,8.51E-01,2.63E-01,0.02609549,0.010050798,0.001062403,0.000486118,0.0000576,2.71E-05,0.00000415
111.8298298,0.2,1.041345589,0.002868214,0.027806526,0.013021475,0.005561943,4.11E-07,-8.4E-06,5.21E-03,0.001,0.005206728,0.001,0.005206728,0.001,228.5272911,3E+01,8.75E+00,8.21E-01,2.55E-01,0.025237458,0.009755176,0.001030418,0.000470554,0.000056,2.75E-05,0.00000405
111.995996,0.2,1.04304878,0.002779326,0.026968818,0.017225982,0.005783458,4.02E-07,-8.48E-06,5.22E-03,0.001,0.005215244,0.001,0.005215244,0.001,227.4538821,2.9E+01,8.45E+00,7.92E-01,2.47E-01,0.024408337,0.0094659,0.000999426,0.000455918,0.0000545,2.8E-05,0.00000395
112.1621622,0.2,1.044749608,0.002693271,0.026156409,0.022788055,0.006115438,3.93E-07,-8.56E-06,5.22E-03,0.001,0.005223748,0.001,0.005223748,0.001,225.8520403,2.81E+01,8.16E+00,7.64E-01,2.39E-01,0.023607132,0.00917411,0.000969395,0.000442274,0.000053,2.85E-05,0.00000386
112.3283283,0.2,1.046448056,0.002609955,0.025368707,0.030145426,0.00660606,3.84E-07,-8.63E-06,5.23E-03,0.001,0.00523224,0.001,0.00523224,0.001,223.7804095,2.72E+01,7.88E+00,7.37E-01,2.31E-01,0.022832881,0.008889892,0.000940293,0.000429693,0.0000516,2.9E-05,0.00000376
112.4944945,0.2,1.048144114,0.002529287,0.024605178,0.039876735,0.007298386,3.76E-07,-8.69E-06,5.24E-03,0.001,0.005240721,0.001,0.005240721,0.001,221.2905987,2.64E+01,7.61E+00,7.1E-01,2.24E-01,0.022084657,0.008613155,0.000912091,0.000418245,0.0000502,2.95E-05,0.00000367
112.6606607,0.2,1.049837768,0.002451184,0.023865346,0.052746654,0.008270596,3.68E-07,-8.74E-06,5.25E-03,0.001,0.005249189,0.001,0.005249189,0.001,218.4206192,2.55E+01,7.35E+00,6.85E-01,2.17E-01,0.021361563,0.008343833,0.000884761,0.000408007,0.0000488,3E-05,0.00000358
112.8268268,0.2,1.051529003,0.002375563,0.0231488,0.069765256,0.009597449,3.6E-07,-8.79E-06,5.26E-03,0.001,0.005257645,0.001,0.005257645,0.001,215.2326535,2.47E+01,7.1E+00,6.61E-01,2.1E-01,0.020662738,0.008081886,0.000858275,0.000399058,0.0000475,3.05E-05,0.00000349
112.992993,0.2,1.053217809,0.00230234,0.022455185,0.092266053,0.011413059,3.52E-07,-8.83E-06,5.27E-03,0.001,0.005266089,0.001,0.005266089,0.001,211.7793752,2.39E+01,6.86E+00,6.38E-01,2.03E-01,0.019987347,0.007827301,0.000832605,0.00038819,0.0000462,3.1E-05,0.00000341
